,equal,bracket_r,comment,grid,quat_mark,word_from,point,comma,word_select,word_union,star,word_where,word_or,line,percent,point_comma,dollar,plus,at,Label
35,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
36,1,1,1,0,0,1,0,1,2,1,1,1,0,0,0,0,0,0,2,1
37,1,0,1,0,3,1,0,1,2,1,2,1,0,0,0,0,2,0,2,1
38,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,1,0,0,0,1
39,2,0,1,0,3,1,0,1,2,1,1,1,1,0,0,0,1,0,2,1
40,2,0,1,0,0,1,1,0,1,0,1,1,2,0,0,0,0,0,0,1
41,1,0,1,0,3,1,0,1,2,1,1,1,1,0,0,0,0,0,2,1
42,1,1,1,0,0,1,0,1,2,1,1,1,0,2,0,0,0,0,0,1
43,2,0,1,0,0,2,0,1,2,1,1,2,0,2,0,0,1,0,0,1
44,2,0,1,0,3,1,1,0,1,0,1,1,2,0,0,0,0,0,0,1
45,2,0,1,0,0,1,0,0,1,0,1,1,2,0,0,0,0,0,0,1
46,2,0,1,0,0,1,1,0,1,0,1,1,2,0,0,0,0,0,1,1
47,2,0,1,0,0,1,0,0,1,0,1,1,2,0,0,0,1,0,0,1
48,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
49,2,0,1,0,0,1,0,1,1,0,1,1,2,0,0,1,0,0,0,1
50,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
51,2,1,1,0,0,2,0,1,2,1,1,2,0,0,0,0,1,1,0,1
52,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
54,1,1,1,0,3,1,1,1,2,1,1,1,0,0,0,0,0,0,2,1
55,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
56,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
57,2,0,1,1,0,1,0,1,1,0,1,1,2,0,0,0,0,0,0,1
58,1,1,0,0,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
59,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
60,3,1,1,0,0,1,1,0,1,0,1,1,2,0,0,0,0,0,0,1
61,1,1,1,1,0,1,1,1,2,1,1,1,1,0,0,0,0,0,0,1
62,1,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
63,2,0,1,0,0,2,0,1,2,1,1,2,0,0,0,0,1,0,0,1
64,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
65,1,1,1,0,0,1,0,1,2,1,1,1,0,0,0,0,1,0,1,1
66,2,0,1,0,0,1,1,0,1,0,1,1,1,0,0,0,1,0,1,1
67,2,0,1,0,0,1,1,0,1,0,1,1,2,0,1,0,0,0,0,1
68,1,0,1,0,0,1,0,1,2,1,2,1,0,0,0,0,2,2,2,1
69,2,0,1,0,0,1,1,1,1,0,1,1,2,0,0,0,0,0,0,1
70,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,1
71,2,0,1,0,0,1,0,0,1,0,1,1,2,0,0,0,0,0,0,1
72,1,1,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
73,1,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,2,1
74,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
75,2,0,1,0,0,1,1,0,1,0,1,1,2,0,0,0,0,0,0,1
76,1,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
77,1,1,1,0,0,1,1,1,2,1,1,1,0,0,0,0,1,0,1,1
78,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
79,2,0,1,0,0,2,0,1,2,1,2,2,0,0,0,0,1,0,0,1
80,1,0,1,0,2,1,0,6,1,1,0,1,0,0,0,0,0,0,0,1
81,1,1,1,1,2,1,1,1,2,1,1,1,1,0,0,0,0,0,0,1
82,1,1,1,1,0,1,0,1,2,1,1,1,1,0,0,1,0,0,0,1
83,2,0,1,1,0,1,0,0,1,0,1,1,2,0,0,0,0,0,0,1
84,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
85,2,0,1,0,0,2,0,1,2,1,2,2,0,0,0,0,1,0,0,1
86,3,5,0,0,3,2,1,1,2,0,0,1,0,0,0,0,0,0,0,1
87,1,1,1,0,3,1,0,1,2,1,1,1,0,0,0,0,0,0,2,1
88,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
89,0,3,1,0,2,0,0,2,1,0,0,0,1,0,0,1,0,0,2,1
90,1,1,1,1,0,1,0,1,2,1,1,1,1,0,0,0,1,0,0,1
91,1,1,1,1,0,1,0,1,2,1,1,1,1,0,0,0,0,0,0,1
92,2,0,1,0,3,1,1,0,1,0,2,1,1,0,0,0,1,0,0,1
93,2,0,1,0,0,1,1,0,1,0,1,1,1,0,0,0,1,2,0,1
94,3,1,1,0,0,1,0,0,1,0,1,1,2,0,0,0,0,1,0,1
95,3,5,0,0,3,2,2,1,2,0,0,1,0,0,0,0,0,0,0,1
96,2,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1
97,2,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1
98,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
99,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1
100,2,0,1,0,0,1,0,0,1,0,1,1,2,0,1,0,0,0,0,1
101,2,1,1,1,0,1,0,1,2,1,1,1,1,0,0,1,0,0,0,1
102,1,0,0,1,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
103,2,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,1,1,0,1
104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
105,3,5,0,0,3,2,2,1,2,0,0,1,0,0,0,0,0,0,0,1
106,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1
107,2,0,1,0,0,1,0,0,1,0,1,1,2,0,0,0,1,0,0,1
108,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
109,1,1,1,0,3,1,0,1,2,1,1,1,0,0,0,0,0,0,1,1
110,1,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,2,1
111,2,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1
112,2,0,1,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1
113,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1
114,2,0,1,0,0,1,0,0,1,0,1,1,2,0,0,0,0,0,0,1
115,1,0,1,0,0,1,0,1,2,1,1,1,1,0,0,0,1,1,2,1
116,1,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
117,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,1
118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
120,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
121,2,0,1,0,0,2,0,1,2,1,1,2,0,2,0,0,1,0,0,1
122,1,1,1,0,0,1,0,1,2,1,1,1,0,0,0,0,2,0,1,1
123,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
124,1,1,1,1,2,1,0,1,2,1,1,1,1,0,0,0,0,0,1,1
125,0,3,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
126,1,1,1,0,0,1,1,1,2,1,1,1,0,0,0,0,0,0,0,1
127,2,2,0,0,3,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1
128,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
129,2,0,1,0,0,1,0,0,1,0,1,1,1,0,1,0,1,0,0,1
130,2,0,1,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,1,1
131,0,3,1,0,2,0,0,2,1,0,0,0,1,0,0,1,0,0,2,1
132,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
133,2,0,1,0,0,1,0,0,1,0,1,1,2,0,0,0,0,0,0,1
134,1,1,1,2,0,1,0,1,2,1,1,1,0,0,0,0,0,0,0,1
135,1,0,1,0,0,1,0,1,2,1,2,1,0,0,0,0,1,2,2,1
136,2,0,1,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1
137,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
138,2,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,1
139,2,0,1,0,0,1,1,1,1,0,1,1,2,0,0,0,0,0,0,1
140,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
141,1,1,1,0,0,1,0,1,2,1,1,1,0,0,0,0,1,0,1,1
142,2,0,1,0,0,1,0,1,1,0,1,1,2,0,0,0,0,0,0,1
143,2,0,1,0,0,1,0,1,1,0,1,1,2,0,0,0,0,0,0,1
144,0,1,0,0,2,0,0,4,1,1,0,0,0,0,0,1,0,0,0,1
145,0,1,1,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
146,1,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
147,0,3,0,0,6,0,1,4,0,0,0,0,2,0,0,0,0,0,0,1
148,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
149,3,0,1,0,0,1,0,0,1,0,1,1,2,0,0,0,0,0,0,1
150,1,0,1,0,0,1,0,1,2,1,1,1,1,0,0,0,0,0,2,1
151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
152,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
153,2,0,1,0,0,1,0,0,1,0,1,1,2,0,0,0,1,1,0,1
154,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
155,2,0,1,0,0,1,1,0,1,0,1,1,2,0,0,0,0,0,0,1
156,3,1,1,0,0,1,0,0,1,0,1,1,2,0,0,0,1,1,0,1
157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
158,1,0,1,0,0,1,0,1,2,1,1,1,1,0,0,0,1,1,2,1
159,2,0,1,0,0,1,0,0,1,0,1,1,2,0,0,0,1,0,0,1
160,1,1,1,0,0,1,1,1,2,1,1,1,0,0,0,0,0,0,0,1
161,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
162,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
163,1,1,1,0,0,1,0,1,2,1,1,1,0,0,0,0,0,1,2,1
164,1,1,1,0,0,1,1,1,2,1,1,1,0,0,0,0,1,0,0,1
165,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
166,1,1,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
167,3,5,0,0,3,2,1,1,2,0,0,1,0,0,0,0,0,0,0,1
168,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
169,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
170,2,0,1,0,3,1,1,1,2,1,1,1,1,0,0,0,1,0,2,1
171,2,0,1,0,0,1,0,0,1,0,1,1,2,0,0,0,0,0,0,1
172,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
173,2,0,1,0,0,1,1,0,1,0,1,1,2,0,0,0,0,0,0,1
174,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
175,2,0,1,0,0,1,2,0,1,0,1,1,1,0,0,0,0,0,1,1
176,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
177,1,1,1,0,0,1,2,1,2,1,1,1,0,0,0,0,0,0,1,1
178,1,1,1,0,3,1,0,1,2,1,1,1,0,0,0,0,0,1,1,1
179,2,0,1,0,0,1,0,0,1,0,1,1,1,0,1,0,0,2,0,1
180,2,0,1,0,0,1,0,0,1,0,1,1,2,0,0,1,0,0,0,1
181,2,0,1,0,0,1,0,0,1,0,1,1,2,0,1,0,0,0,0,1
182,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
183,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
184,1,0,0,0,0,1,3,0,1,1,1,1,0,0,0,0,0,0,0,1
185,1,1,1,0,0,1,0,1,2,1,1,1,0,2,0,0,0,0,1,1
186,1,1,1,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
187,2,0,1,0,0,1,0,0,1,0,1,1,2,0,0,1,0,0,0,1
188,1,1,1,0,3,1,0,1,2,1,1,1,1,0,0,0,0,0,1,1
189,2,0,1,0,0,1,0,1,1,0,1,1,2,0,0,0,0,0,0,1
190,2,0,1,0,3,2,0,1,2,1,1,2,0,2,0,0,1,0,0,1
191,0,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
193,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
194,2,2,0,0,3,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1
195,3,5,0,0,3,2,2,1,2,0,0,1,0,0,0,0,0,0,0,1
196,2,1,1,0,0,1,1,1,2,1,1,1,1,0,0,0,0,0,2,1
197,3,0,1,0,3,1,0,0,1,0,1,1,2,0,0,0,1,0,0,1
198,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
200,2,0,1,0,0,1,0,1,2,1,1,1,1,0,0,0,0,0,2,1
201,1,1,1,0,0,1,0,1,2,1,1,1,0,0,0,0,1,0,1,1
202,1,0,1,0,0,1,0,1,2,1,2,1,0,0,0,0,0,0,2,1
203,1,1,1,0,3,1,0,1,2,1,1,1,1,0,0,0,0,0,1,1
204,2,0,1,0,0,1,1,0,1,0,1,1,2,0,1,0,0,0,0,1
205,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
206,2,0,1,1,0,1,0,0,1,0,1,1,2,0,0,0,0,0,0,1
207,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1
208,3,5,0,0,3,2,2,1,2,0,0,1,0,0,0,0,0,0,0,1
209,1,1,1,0,3,1,2,1,2,1,1,1,0,0,0,0,0,0,1,1
210,0,4,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
211,1,1,1,0,0,1,1,1,2,1,1,1,0,0,0,0,1,0,1,1
212,2,0,1,0,0,1,1,1,2,1,1,1,1,0,0,0,1,0,2,1
213,2,0,1,0,3,1,1,0,1,0,1,1,1,0,0,0,1,0,1,1
214,0,0,0,0,0,1,0,0,1,0,2,1,0,0,0,0,0,0,0,1
215,1,0,1,0,0,1,1,1,2,1,1,1,0,0,0,0,1,1,2,1
216,1,1,1,1,0,1,0,1,2,1,1,1,1,0,0,0,0,0,0,1
217,1,1,0,1,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
218,0,1,0,0,3,0,4,0,0,0,0,0,0,4,0,0,0,0,0,1
219,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
220,2,0,1,0,0,1,0,0,1,0,1,1,2,0,0,0,0,0,1,1
221,1,1,1,0,0,1,0,1,2,1,1,1,0,0,0,0,0,1,0,1
222,4,5,0,0,3,2,2,1,2,0,0,2,0,0,0,0,0,0,0,1
223,2,0,1,0,0,1,0,0,1,0,1,1,2,0,0,0,0,0,1,1
224,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
225,1,1,1,0,0,1,0,1,2,1,1,1,0,0,0,0,0,0,0,1
226,1,0,1,1,3,1,0,1,2,1,1,1,0,0,0,0,0,0,2,1
227,1,1,1,1,0,1,0,1,2,1,1,1,1,0,0,0,0,0,0,1
228,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
229,2,0,1,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1
230,2,1,1,1,0,1,0,2,2,1,1,1,1,0,0,0,0,0,1,1
231,2,0,1,0,0,1,0,0,1,0,1,1,2,0,0,1,0,0,1,1
232,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
233,2,2,0,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
234,2,0,1,0,0,2,0,1,2,1,1,2,0,0,0,0,1,1,0,1
235,3,0,1,0,0,1,0,2,1,0,1,1,2,0,0,0,0,0,0,1
236,1,0,1,0,0,1,0,1,2,1,1,1,0,0,1,0,1,2,2,1
237,1,2,1,1,0,1,0,1,2,1,1,1,1,0,0,0,0,0,0,1
238,2,1,1,0,0,1,0,0,1,0,1,1,2,0,0,0,0,0,0,1
239,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
240,2,0,1,0,3,1,0,0,1,0,1,1,1,0,0,0,0,0,1,1
241,1,1,1,0,3,1,0,1,2,1,1,1,0,0,0,0,0,0,0,1
242,1,0,1,0,0,1,1,1,2,1,1,1,1,0,0,0,0,0,2,1
243,3,0,1,0,0,1,0,0,1,0,1,1,2,0,0,0,0,0,0,1
244,2,0,1,0,0,1,0,0,1,0,1,1,2,0,1,0,0,0,0,1
245,2,1,1,0,0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,1
246,1,0,1,0,3,1,0,1,2,1,1,1,0,0,0,0,0,0,2,1
247,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
248,2,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,1
249,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
250,3,0,1,0,0,1,0,0,1,0,1,1,2,0,0,0,0,0,0,1
251,2,0,1,0,0,1,0,0,1,0,1,1,2,0,0,0,0,0,0,1
252,3,5,0,0,3,2,2,1,2,0,0,1,2,0,0,0,1,0,0,1
253,3,5,0,0,3,2,1,1,2,0,0,1,0,0,0,0,0,0,0,1
254,2,0,1,0,0,1,0,0,1,0,1,1,1,0,1,0,2,2,0,1
255,2,0,1,0,3,1,0,0,1,0,1,1,1,0,1,0,1,2,0,1
256,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
257,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
258,2,0,1,0,0,2,1,1,2,1,1,2,0,0,0,0,1,0,0,1
259,3,0,1,0,3,2,0,1,2,1,1,2,1,0,0,0,1,0,0,1
260,1,1,1,0,3,1,0,1,2,1,1,1,0,0,0,0,0,0,0,1
261,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1
262,2,0,1,0,0,1,1,0,1,0,1,1,2,0,0,0,0,0,0,1
263,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
264,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
265,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
266,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
267,1,1,1,1,0,1,0,2,2,1,1,1,1,0,0,0,0,0,0,1
268,1,0,1,0,3,1,1,1,2,1,1,1,0,0,0,0,1,0,2,1
269,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
270,0,0,0,0,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
271,2,0,1,0,0,2,0,1,2,1,1,2,0,0,0,0,1,0,0,1
272,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
273,2,1,1,0,0,1,1,0,1,0,1,1,2,0,0,0,0,0,0,1
274,2,1,1,0,0,1,0,1,2,1,1,1,1,0,0,0,0,0,2,1
275,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
276,1,0,1,0,0,1,0,1,2,1,1,1,0,0,1,0,0,2,2,1
277,2,0,1,0,0,1,0,0,1,0,2,1,1,0,0,0,0,0,0,1
278,3,0,1,1,0,1,0,0,1,0,1,1,2,0,0,1,0,0,1,1
279,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
280,1,0,1,0,0,1,1,1,2,1,2,1,0,0,0,0,0,0,2,1
281,2,1,1,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,1,1
282,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
283,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1
284,1,1,1,0,0,1,0,1,2,1,1,1,0,0,0,0,0,0,1,1
285,1,0,1,0,0,1,0,1,2,1,2,1,0,0,0,0,0,2,2,1
286,1,2,1,1,0,1,1,1,2,1,1,1,1,0,0,0,0,0,0,1
287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
288,2,1,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,1
289,1,1,1,0,0,1,0,1,2,1,1,1,0,0,0,0,1,0,1,1
290,1,1,1,0,0,1,0,1,2,1,1,1,0,0,0,0,0,0,1,1
291,2,1,1,1,0,1,0,1,2,1,1,1,1,0,0,0,1,0,1,1
292,2,1,1,0,3,1,1,1,2,1,1,1,1,0,0,0,0,0,2,1
293,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
294,2,0,1,0,3,2,0,1,2,1,1,2,0,0,0,0,1,0,0,1
295,2,0,1,0,0,1,0,0,1,0,1,1,2,0,0,0,0,0,0,1
296,2,0,1,0,0,1,0,0,1,0,1,1,2,0,0,0,1,0,0,1
297,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
298,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
299,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
300,1,1,1,1,0,1,0,1,2,1,1,1,0,0,0,0,0,0,0,1
301,1,4,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
302,1,0,1,0,3,1,1,1,2,1,1,1,1,0,0,0,0,0,2,1
303,1,1,1,0,3,1,0,1,2,1,1,1,0,0,0,0,0,0,1,1
304,3,5,0,0,3,2,2,1,2,0,0,1,0,0,0,0,0,0,0,1
305,2,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,2,1
306,1,1,1,0,0,1,0,1,2,1,1,1,0,0,0,0,1,0,2,1
307,1,1,1,0,3,1,0,1,2,1,1,1,0,0,0,0,0,0,2,1
308,2,0,1,0,0,1,0,0,1,0,1,1,2,0,0,0,1,0,0,1
309,1,2,1,1,0,1,0,1,2,1,1,1,1,0,0,0,0,0,0,1
310,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
311,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
312,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
313,2,0,1,1,0,1,0,0,1,0,1,1,2,0,0,1,0,0,0,1
314,1,1,1,0,3,1,0,1,2,1,1,1,0,0,0,0,1,0,1,1
315,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
316,2,0,1,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1
317,2,1,1,0,0,1,0,0,1,0,1,1,2,0,0,0,0,0,0,1
318,1,0,1,0,0,1,0,1,2,1,1,1,0,0,1,0,1,0,2,1
319,4,5,0,0,3,2,2,1,2,0,0,2,0,0,0,0,0,0,0,1
320,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
321,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
322,3,0,1,0,0,1,0,1,1,0,1,1,2,0,0,1,0,0,0,1
323,1,1,1,0,0,1,0,1,2,1,1,1,0,2,0,0,0,0,1,1
324,1,0,1,0,0,1,1,1,2,1,1,1,0,0,0,0,0,2,2,1
325,2,1,1,0,0,1,0,1,1,0,1,1,2,0,0,0,0,0,0,1
326,1,1,0,0,0,1,0,3,1,1,1,1,0,0,0,1,0,0,0,1
327,1,1,1,1,0,1,0,1,2,1,1,1,1,0,0,0,0,0,0,1
328,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
